1 356 0 0    6.22 29896.7      0 29896.1 0 0 0 985848      0 0  0 29896.1  0 0  0 0  0 0  0 985848       0 0  0 29896.1  0 0  0 0  0 0  0 985848 
1 356 0 0    5.95 26657.5      0 26656.9 0 0 0 985848      0 0  0 26656.9  0 0  0 0  0 0  0 985848       0 0  0 26656.9  0 0  0 0  0 0  0 985848 
1 356 0 0    6.38 28948.9      0 28948.3 0 0 0 985848      0 0  0 28948.3  0 0  0 0  0 0  0 985848       0 0  0 28948.3  0 0  0 0  0 0  0 985848 
1 356 0 0    6.35 30338.8      0 30338.2 0 0 0 985848      0 0  0 30338.2  0 0  0 0  0 0  0 985848       0 0  0 30338.2  0 0  0 0  0 0  0 985848 
1 356 0 0    6.41 23825.7      0 23825.1 0 0 0 985848      0 0  0 23825.1  0 0  0 0  0 0  0 985848       0 0  0 23825.1  0 0  0 0  0 0  0 985848 
1 356 0 0    6.31 23931.8      0 23931.2 0 0 0 985848      0 0  0 23931.2  0 0  0 0  0 0  0 985848       0 0  0 23931.2  0 0  0 0  0 0  0 985848 
1 356 0 0    6.32 28416.4      0 28415.7 0 0 0 985848      0 0  0 28415.7  0 0  0 0  0 0  0 985848       0 0  0 28415.7  0 0  0 0  0 0  0 985848 
1 356 0 0    6.47 28596.8      0 28596.2 0 0 0 985848      0 0  0 28596.2  0 0  0 0  0 0  0 985848       0 0  0 28596.2  0 0  0 0  0 0  0 985848 
1 356 0 0    6.11 29395.4      0 29394.8 0 0 0 985848      0 0  0 29394.8  0 0  0 0  0 0  0 985848       0 0  0 29394.8  0 0  0 0  0 0  0 985848 
1 356 0 0    16.17 354106      0 354104 0 0 0 985848      0 0  0 354104  0 0  0 0  0 0  0 985848       0 0  0 354104  0 0  0 0  0 0  0 985848 
1 356 0 0    8.66 725719      0 725718 0 0 0 985848      0 0  0 725718  0 0  0 0  0 0  0 985848       0 0  0 725718  0 0  0 0  0 0  0 985848 
1 356 0 1    6.26 257053      0 257052 0 0 0 986482      0 0  0 257052  0 0  0 0  0 0  0 986482       0 0  0 257052  0 0  0 0  0 0  0 986482 
1 356 0 1    6.24 258003      0 258003 0 0 0 986482      0 0  0 258003  0 0  0 0  0 0  0 986482       0 0  0 258003  0 0  0 0  0 0  0 986482 
1 356 0 1    7.75 262887      0 262886 0 0 0 986482      0 0  0 262886  0 0  0 0  0 0  0 986482       0 0  0 262886  0 0  0 0  0 0  0 986482 
1 356 0 1    8.98 263359      0 263358 0 0 0 986482      0 0  0 263358  0 0  0 0  0 0  0 986482       0 0  0 263358  0 0  0 0  0 0  0 986482 
